video_id,description_0,description_1,description_2,description_3,description_4
9628,A sailboat moves over the water on an overcast day.,A sailboat is sailing on a calm body of water on a sunny day.,A boat with a sail is floating along a body of water.,"A one person operated sailboat makes a sharp turn on the lake, straightens it out and glides on with the help of the wind. ",A sailboat tilt on the side sailing on the water behind trees.
2269,A dog excitedly rides on a boat with beautiful scenery.,a person rides in a boat that is floating along in the water,A person is riding a paddle boat down the river.,A small boat makes its way across a lake lined with large homes.,A boat is going through the lake near homes or cabins
5905,A person is filming off the side of a boat in a lake.,The side of the white boat is being recorded while the boat creates waves.,From the point of view of a boat as it cuts across in large inland water body in the daytime.,a boat moving fast rides on a lake past trees lining the shore.,A boat speeding through a lake and a view of pines in the background
1976,The water craft moves slowly down on the river catching up with the boat ahead.,"A pair of covered boats floats down a muddy, plant-lined river.",A boat drives through a river filled with a lot of lily plants.,A swamp with one boat following another boat down the water,two boats ride slowly down a river lined with vegetation
4149,A man was upside down in a canoe and flipped himself over,A person flips an orange kayak right side up while another person paddles nearby.,A person dressed in red flips their kayak over after being upside down.,A kayaker flipping back over after being turned upside down,A person is tipped over in their boat but turns over.
1676,a person surfing waves while hanging onto a rope attached to the boat pulling him,A man is wake surfing behind a boat that is pulling him in the water.,A wakeboarder glides along the water on a clear sunny day.,a person wearing black wakeboards behind a boat in the water,A guy surfing in a lake behind a boat creating waves during a sunny day
9403,A man is sailing peacefully on his boat with the American flag flying proudly above him.,A small sailboat with an American flag slowly drifts past a dock.,A wooden ship with a person and a U.S. flag goes along a river,A man stands on a small boat carrying an American flag.,Old man in a boat with an American flag cruising and enjoying his day at the lake
9594,The kid in the green shirt is driving a toy motor vehicle with another boy of his age and an adult man.,Two young kids and an older man sit in a car together,A man and two young boys riding in a toy car on a quiet street.,a man in a blue shirt speaks as a younger boy drives,a man and two boys sit in a boat on a water ride.
600,"Looking out the front top of a vessel or boat, that is on the ocean.Looking out from the boat onto the horizon of the ocean.",A ship with a green deck is tilting to one side in strong seas.,A white and green boat sails through rough waves while the wind blows water across the bow.,"A boat rocks back and forth on the ocean, from the viewpoint of someone on the boat.",A large boat sails on a rough ocean on a windy day
4305,There is a green and red kayak floating in the sea with many waves.,A person in a lime green kayak swims to another person in a red kayak.,People in a green and red kayaks paddle down a river.,Two kayakers navigate strong currents while paddling in open water.,a person wearing a white helmet paddles a raft in the water
9656,An adult and a child row a kayak in calm waters near the shore.,A boat is moving in a body of water with a paddle.,Two people paddle a lime green kayak down a river.,Two people in the water inside a green canoe rowing,Two people paddle in a lake in a yellow canoe
6291,"A sailboat sailing on a body of water, with the boat leaning because of the wind.",A boat is out in the water sailing slowly with the wind.,"A boat with a large sail floating on a small body of water, tilting back and forth.",a sailboat floats on a body of water with trees and buildings in the background.,A red boat with white sails sailing tranquil through a lake
201,Boat sailing in the water flashing a Facebook sign telling people to sign up.,A small boat rides along the coast with a sign displaying a Facebook advertisement.,The boat has a billboard showcasing facebook as an ad.,A boat is sailing in the water with a billboard advertising a company on Facebook.,A boat rides the waves with a huge sign advertising Facebook.
9171,A man lifts himself up on a wakeboard while being pulled by a boat with an engine.,A man is holding onto a rope while skiing in the water behind a motor boat.,A man lifts himself up from the water while holding onto a line that is pulled by a boat.,"One man is pulled behind a boat on a raft, holding on to a rope.",A person being pulled by a boat that is water surfing.
7970,a ferry moves through the water with a city behind it,a ferry boat travels across the water outside of the city,Views of a city line along the shore with a cruise boat in the water.,A cruise ship makes its way along next to the downtown area of a city.,a large cruise ship sails slowly through a bay with a city skyline in the back
4231,Sitting in a boat in the middle of the water fishing.,Two individuals sit on a boat on a small lake while fishing.,The two people are fishing from a boat in the middle of the lake.,Two people sit in a small boat in a lake and fish.,two people ride a small boat on a body of water
2270,A white boat on a lake comes towards the camera,The surface is smooth as a boat glides across the water making small breaks in the waves.,A boat is riding across the water towards the camera.,a white boat drives quickly across the river of water,A white speedboat heads across the water directly towards the camera
7462,A person fishing pulls up on his rod and reels in his catch.,a person has hooked a fish and is pulling them in,Someone is using a fishing pole to reel something heavy in which bends the pole.,A man holds a fishing line and pulls with some resistance as he turns the reel.,point of view of a man trying to reel in a fish in the water
1302,Multiple people are paddling a river canoe at a high speed,Multiple people are rowing with paddles a very large canoe.,A rowing team works their oars while floating down a river in a yellow row boat.,a crew of rowers paddle a yellow boat down a river,a group of ten row a long yellow boat past houses
6154,A boat is seen on the fast waves of a body of water,A black boat sails across the water on a sunny day.,A small boat is in the distance floating in the wave ridden waters.,the camera pans the ocean showing a boat and choppy conditions,A video in the ocean with a boat on the frame
1220,A calm tree-lined body of water with a small group of people and 2 boats on the shore.,A large pond is viewed with a person and small water craft at the edge.,"On a pretty day, the lake is as smooth as glass just before jet skis fly across the surface.",A cloudy sky covers a large body of water surrounded by trees.,A wide body of water with a small island of trees  in the middle and two small white boats near a person on the beach
9987,"A low, motorized boat moves slowly along the water as it approaches the shore.",A boat makes its way through the water near a town at the beach.,A covered boat travels down a waterway during the day.,A boat with a green roof coasts through the water toward a forested cove.,"A boat cruises away from a camera, towards land covered in trees and buildings."
5293,A sail boat at full mast travels quickly across a lake towards the shore.,A sailboat goes through the lake on a sunny day.,A small red boat with white sails lazily floats on top of the quiet water.,A red sailboat is floating through water near some trees.,A red sailboat moves across the water near a shore of trees.
2288,A person in a small boat turning around to go towards the shore.,a man in a power jet boat is steering going down a waterway steering left,A small red boat is turning in the water with a rocky shoreline.,a guy turns his turbo charged motor boat while riding in a lake,A white man riding his small red boat on water
6773,a man drives a boat in the water really fast,Man on jet boat is going along in the water as the water splashes in the back.,A man is driving a small fishing boat down the river.,A man rides a motorboat on a quiet lake by the a deck.,A person in a small boat in the water driving towards shore
2156,A jet ski and boat move together just after passing a tall bridge.,A small boat and a jet ski in the distance ride along the water.,Someone is using a jet boat next to a smaller boat in the water.,A couple speed boats zoom down a river with cars driving over a bridge.,A person on a boat while two people on motor skis passes it.
9811,Girls playing baseball in a indoor gym and dribbling a basketball.,A girl is bouncing a basketball down the court to her team's side.,A young girl dribbles the ball across half-court in a gymnasium.,People are playing basketball inside while others watch close by.,A girl in white dribbles a ball down the center of court
4098,A baby swings around in a jumper while strapped in,A baby rocks around back and forth on a baby toy they have.,A young toddler attempts to stand in a baby training device,A little baby girl jumps in a yellow jumper and smiles at the camera.,A baby wearing all pink in a bouncy device having fun
7780,A guy jumps on a rope suspended in the air and does tricks.,A man is jumping and falling on a tightrope between two poles.,A man balances on a tightrope and drops down to a sitting position and bounces,A guy is standing and bouncing on a tightrope before he sits on it.,a man in a black shirt balances on a tightrope
1496,a baby is looking up at the camera as it is being rocked back and forth.,A baby is sitting in a chair while moving its hands.,A baby wrings its hands while sitting in a baby seat,a baby is strapped into a white baby seat with blue strap,A baby is rocked in a blue rocker above an oriental carpet
5026,A small child cannot get up while inside a bounce house,Two children jump and roll around on a red bouncy house.,Young children jump and wiggle around in a red inflatable bouncy-house.,A little kid lies on the floor of a red bouncy house as another kid runs around,A little boy stuck on a bouncy floor while another child bounces around him.
4853,Group of people are performing in the circus as one man jumps to make another man jump.,An acrobat jumps onto a springboard sending a man flipping into the air to land on the shoulders of a man standing on the shoulders of another man.,A circus acrobat jumps onto a plank of wood launching his partner into the air.,A man jumps on a board causing another man to flip in the air,an acrobat jumps on to a seesaw to launch another acrobat towards a group of acrobats where one is on another' shoulders
2401,A horse rider goes through the gates after jumping over the obstacle.,a horse runs in between some white poles that are outside,A person on a horse rides over a pipe on the ground.,A woman and her horse go for a ride in a backyard,A horse jumps over a white bar while carrying someone on their back
1253,A car is going and shifting from Cold to Hot.,a car temperature gauge wiggles back and forth while the car is on,A temperature gauge is wiggling back and forth closer to the cold side.,the temperature gage of a car wobbles as the car moves,A car's engine gauge wavers slightly between cold and hot.
8250,Two small children are bouncing inside of a bounce house,a child wearing red pants jumps inside of a bouncy house,"Cute! Inside a bouncy house behind a mesh netting for safety, a child is bouncing up and down.",A young girl facing the camera  jumps in a bounce house with one other child.,A young child is jumping in a bounce house while someone records through the netted side.
2868,A man and his daughter are jumping on a trampoline,A man and a young girl bounce on a trampoline outside.,A man bounces on a trampoline towards a girl that is sitting cross legged.,Two people on a trampoline both wearing white shirts  and dark pants,a young boy and girl play and bounce on a trampoline
1692,"to small, black donkeys in garden. One of them is on a big rock.",A baby goat climbs on top of a rock and almost jumps off onto another goat.,a goat is standing on a rock trying to make its way down to another goat,A goat scratching its head against a rock and its kid standing on the rock,A small goat is standing on top of a rock.
2618,A young child does a forward flip on a trampoline,a child wearing a tank top does a front flip at a trampoline park,A boy begins to do a front flip on a yellow trampoline.,A kid in a blue shirt does a flip on a yellow trampoline,A child jumps forward attempting to do a front flip on an indoor trampoline.
7678,Two girls are marching in place as a man and two women stand and watch on the side.,Two girls march on their feet outside as people in the background watch.,Young girls wearing scarves march in place in a dance routine to an audience.,Kids in black and white uniforms with ties are outside doing some sort of dance.,Children in white shirts with red ties are dancing and marching.
7156,A person puts a yellow item on a glass item and rubs it.,A man pulls a bow across the rim of a glass vase,A person rubs a stringed instrument bow across a glass vase to create a sound.,A person runs a bow along the rim of a glass vase.,A person playing with a tumbler placed on a table in the studio
2215,Referee breaks to men apart only to allow them to continue boxing again.,A referee dressed completely in white breaks apart two pugilists before allowing the fight to commence.,A huge crowd of spectators watch as two men are in a boxing match.,A referee separating two boxers who are in the middle of a boxing match.,Two boxers prepare to start again as the referee waves his hand
3742,two barefoot women are practicing boxing together for sport in a gym,Two women spar with boxing gloves in front of a window.,A woman in a blue shirt punches the hands of a woman in a black shirt.,two young women practice their boxing skills in a gym,Two girls sparing wearing boxing gloves and exercise clothing with one of them barefoot
431,two opponents are practicing their boxing techniques while a small crowd gathers to watch,a man does some boxing moves while another man helps him out,a man is practicing punches on another man in yellow gloves,A man in a blue boxing uniform practices boxing with a partner.,A kickboxer sparing and practicing with a man in gloves
4503,A man is teaching two boys how to punch at a backyard gathering.,Man is sitting down at table as children are doing actions with their hand.,Two boys throw punches towards a man in a white shirt with family looking at them.,Looks like a father figure or gentleman is teaching two young children how to properly punch.,a couple kids learning to punch in front of some parents
3629,A boy in a red belt jumps over another boy and kicks a piece of wood in his instructor's hands.,A boy in a white karate uniform runs and jumps to kick a pad.,A child in a karate uniform running and then jumping over another child as they kick a plank of wood in two.,A karate student is running on a mat to kick a board held over another student.,A boy shows a karate class how to jump and kick a board.
5255,A young girl practices a martial art with two other people.,A female is training in martial arts with two men.,Two men help a young girl practice martial arts kicking a wooden board.,A young girl with a red belt is practicing with a black belt and teacher,a girl with a red belt doing a kick to break a board
3421,Waves roll around at the beach as wind sways a tree.,A view of the beach as waves roll onto the shoreline.,Ocean waves gently splash on the shore of a sandy beach with trees,small ocean waves crash onto an empty beach with trees,An ocean as far as the eyes can see with a beach and trees close by.
4232,A man is hitting a pinata and a lot of candy falls out.,a group of people are watching someone hit a piñata.,A teen hitting a pinata with a stick and breaking it open spilling  candy.,A boy in a white shirt breaks open a pinata.,A boy hitting a pinata and candy falling out of it
6452,An owner playing with his pet while driving in his car.,A dog is being pet in the passenger seat by the driver of the car.,A man wearing a wristwatch pets a brown dog in his car.,A man wearing a watch hand pets his dog while he is driving.,A person driving a car is petting an excited brown and white dog.
2644,A woman is trying to show a small child how to use a toothbrush.,A woman teaches a small child how to brush her teeth while another child watches,A parents corrects a small child's teeth brushing habits as another child watches.,"a woman instructs a small girl with a toothbrush, an older girl with a toothbrush watches",A mom instructs her little girls how to properly brush their teeth
4769,A mother is trying to brush her son's teeth but he is resisting and turning his head.,a little kid sits in a chair and tries to avoid their mother,a young child is laying down and turns away as an adult tries to brush it's teeth,"A mother is trying to brush her child's teeth, while this child is sitting on a blue chair. ",A blonde kid sitting on a chair with a blue cushion
1653,A young child with blonde hair brushing a goat while two other children pet it.,"Little girl is brushing the goat very hard, while others pet it softly.",A small girl brushes the fur of a brown and black goat at a petting zoo.,A few young girls are petting and brushing a goat,A blond girl brushes a goat with a brush while others pet it
6064,A man is using a brush to try to groom his beard.,A man looks in a mirror and combs his beard while smiling.,A man uses a comb to groom his beard by a mirror.,A man is brushing through his facial hair with a brush,A man brushing his thick beard with a brush in front of a mirror.
8543,"A frowning man puts toothpaste on a toothbrush, puts the brush in his mouth and starts brushing teeth.",A person brushes their teeth while the sink is under them.,A man is squeezing toothpaste onto a toothbrush and then starts brushing his teeth.,a woman puts toothpaste on a toothbrush and begins to brush her teeth,A person putting a stream of tooth paste on a toothbrush
5121,Baby is sitting in sink with water on and brushing its teeth.,a baby sits in the sink and uses a toothbrush on their teeth,A baby in a running sink brushes her teeth while an adult turns off the sink.,an Asian kid sitting in a sink holding a green toothbrush,A small child is taking a bath in a bathroom sink
9111,a human gingerly pets his/her black cat with a special brush.,Someone is brushing the hair of a black cat near a white door.,Someone bushes a black cat that is laying next to the door.,Someone brushes a black cat with a brush near a white door,A person brushes a black cat's back with a brush.
6084,"A woman brushes a dog under its belly and that makes the dog, make a scratching motion.",a fluffy white dog is scratching his leg while being groomed,A white dog while being brushed on his stomach shakes his foot.,A dog loves being brushed near his back right leg,A dog moving his leg while a lady brushes his belly
7343,A little girl plays with a brush and gets very excited.,A baby girl is excitedly waving and playing with a blue hair brush.,A little girl is sitting on a sofa holding a blue toy and is bouncing up and down.,A young girl holding a blue hairbrush and waving at the camera.,A baby girl with blonde hair sitting in the couch
7232,A guy brushes his beloved horse while he eats in his stable,A man is brushing the back end of a horse that has its head leaned over.,A man in a sweatshirt and baseball cap brushes a horse down.,A man is grooming a horse in a stall with a window,A man brushes down a horse in a stable while the horse feeds
888,A baby is trying to comb the hair of the doll he is holding,A young child plays with her black-haired Barbie and brushes its hair,A blonde toddler girl wildly brushing her dolls black hair.,a baby in a blue onesie combs a doll's hair,a baby sits on a small mattress and combs a doll's hair.
9791,A whale and other sea creatures are swimming in the crystal blue water.,a little fish swims around underneath the water and others do too,Several fish slowly swim in an environment of clear blue water,You can see underwater there are some fish swimming around.,"A camera slowly pans underwater during the day, showing three large fish. "
9195,Baby happily plays with bubble making machine toy while being recorded by a person who is happy to see the baby play.,A child is standing in front of a bubble machine on a wicker table.,As bubbles are being blown and falling a young boy tries to catch one and smiles.,Cute toddler enjoying bubbles from her brand new bubble machine.,The small child is occupied by the machine that makes bubbles consistently.
4598,A robot on exhibit in a glass box assembles a race car track.,A futuristic machine is moving and turning in a glass box with people walking around.,Robotic arms carefully move around pieces of a roadway model.,A robotic machine taking apart a race car track or train track,Some kind of a robotic display is seen in a laboratory.
7876,The red bicycle is being repaired in a bicycle shop.,A girl with a orange cap is attempting to fix her bike.,A person works on a bike that is suspended in the air.,a long haired person in an orange hat looks at a pink bicycle,A woman demonstrates how to attach a chain to  bike
7236,Men are standing in a new home structure between wooden boards,a worker in a green shirt stands on top of the house talking to a worker in a black shirt,A group of construction workers stand on top of a structure and talk.,Construction workers are putting part of a new roof frame together,A crew of men with hard hats putting up a house foundation.
4022,There are multiple people walking on the streets near large buildings.,people walking down a sidewalk near multiple tall buildings,A large beautiful building is shown with a flag on the roof.,A camera is looking up at the buildings in a busy city,A tall building has a red flag on top of it blowing in the wind.
5873,There is an orange house with a deck and chairs floating above a body of water.,A camera shows an orange and blue room that is sitting above the water.,A small deck on a thatched roof building is shown connecting to a pretty blue pool,A room with chairs on the patio sits out over water.,Water surrounds this beautiful orange and brown property with two chairs
781,"A bus drives in a fairly busy city, on its way to pick up passengers.",a bus drives down the road passing a man wearing a red shirt,A transit bus moves down pedestrian-lined streets towards an intersection.,A bus pulls up to its scheduled stop on a street corner.,a bus drives down a city street as pedestrians pass on the sidewalk.
6043,A man talking and hammering boards while installing a wood floor.,A construction crew are working in a house and there is equipment everywhere.,"People are laying hardwood floors in a room, nearing the wall in one section.",Several men are on their knees installing new hardwood floors.,Several bundles of wood and tools are spread on a floor.
2050,"Outside on the beach in the sand, a boy is building a huge sand castle.",a boy digs in the sand and builds a castle at the beach,A little boy digs sand from around his nicely built sandcastle.,A young boy is digging in the sand and making a sand castle.,a boy in swim trunks builds a sand castle and moat on a sunny beach.
2787,A camera is panning across a landscape which features a factory with multiple smokestacks.,Several buildings are shown in a panoramic view in the early dawn,A camera pans across a field with a number of structures in the background.,The camera is panning across an industrial factory complex skyline.,A view of some buildings and the sky in the evening
4210,A city is being shown that is near a body of water on a cloudy day.,a cityscape situated near a body of water on a gray gloomy day,Tall and short buildings nestle against a large body of water.,The camera pans across a lake surrounded by tall buildings,Water ripples near a city landscape on a cloudy day.
4499,A man using a hand held saw to cut an object.,A man is using a power tool to saw some kind of metal and wood object,A man uses a small electric saw on a piece of metal by a garden fence.,A man wearing earphones uses a saw to cut through metal.,A man is using a saw to cut tiles on an outdoor area.
9350,A black bus with advertisements on the side travels down a busy downtown street.,a black bus cruises down the road in front of three large buildings,A bus moves down a street with lined with palm trees and with high rise buildings in the background.,A tour bus drives down a busy street in front of tall buildings,A video is taken of a busy street with a bus pacing and many skyscrapers in the background.
7167,The camera pans over a city skyline from a boat and the wind noise is really loud,A waterfront scene is shown with buildings and skyscrapers on the water.,choppy boat scanning city next to river coastline with multi colored building in view,The camera pans across tall buildings on the waterfront,A city with high building is surrounded by water and blue sky.
7279,three men cut a plank of wood to be used in a wood project,Man is helping to hold long wooden rod to build something in the shop.,three men are putting wood onto a boat they're working on,There are two people feeding a piece of weed into a saw while others watch.,Three men are holding a wooden plank while trying to attach it to a bigger wooden object.
326,The Empire State Building is lit up with varying colors of lights in the night sky.,The Empire State Building's lights changing colors very quickly in a show.,here is a view of new york city during the night time showing the empire state building lit up,"The top few floors of a skyscraper lights up at night with blue, red, orange and yellow blinking lights.",The top of the Empire State Building changes colors from blue to red.
3411,A black train pulling a tractor slowly passes by large empty fields.,A train moves very slowly along train tracks beside a green field and a fence.,A slow moving train accelerates through a lush green landscape.,A classic black train slowly crosses the green countryside on a fall day.,A train approaches in the midst of a field with a telephone pole is in the foreground and a small hill is in the background.
8358,A person on a bulldozer using the bulldozer to move a mound of dirt.,A man is driving a tracker while shoveling mud out of the way.,Woman drives heavy machinery and pushes a pile of dirt,A person driving a Case yellow excavator pushing dirt and leveling the ground,A person driving a construction vehicle pushing a pile of dirt.
8511,There has been an accident and it has caught on fire and is burning.,Smoke is coming out from the animated toys in the dark.,A large pile of discarded statues erupt in flame in a night-time setting.,Cameras flash as sparks fly and smoke envelops a stage with props.,The small explosion bursts through the already burning smoke of the scene.
4509,two participants in a fight are dangling from the ceiling and swinging at each while they try and hit each other with bats.,Two people swinging on harnesses swing weapons at each other while people watch.,Two people attempt to fight with sticks while swinging on trapezes,Men attached to swings are hitting at each other while surrounded by people,Two men hang from a contraption and try to hit each other with paddles
8465,"Fire, sparks and smoke and light are all present in a stadium.",Water is falling from a lighted sprinkler system over a stadium.,Sparklers rain down from the sky during a concert in a stadium,There is a huge light thing that looks like fire is falling from it.,smoke blows from fire and sparks from within a stadium
5302,Fire and smoke can be seen in the trees on a dark night.,A fire is burning in the distance with thick smoke billowing out from it.,A fire rages through a forest as the sky fills with smoke,You are seeing the forest fires from California I presume.,a large fire burns powerfully at night in the woods
9868,here is a fire blazing on a structure that has been complete,A large torch is burning fiercely against a black background.,A blazing fire is crackling in a metal basket like object.,A zoom out of a large fire during a dark night.,A fire burning brightly against the dark night background
5535,There is something on fire on what appears to be a dark night.,A close up picture of a burning outside on a ball of fire.,Flames from a fire wave back and forth in the breeze.,"During the night, multiple fires can be seen and felt.",An object burns on the ground as other fires burn in the background.
9271,There is a fire that is burning really bright and hot.,a fire is burning on a log while the bottom is bright orange,It is amazing how relaxing and contemplative gazing at a fire can be.,A big fire is smoldering with the top log being on fire.,A camp fire glowing with flames on the top of the log
2087,The band is singing for the crowd while the bonfire rages on,people are standing around a bonfire with a big flame at night,A group of people are dancing in front of a raging bonfire.,A bon fire with a group of people standing around it,a group of people stand around and watch a large fire
2600,As the molten lava devours everything in sight nothing is left safe,A large flow of lava is seen slowly burning the land it touches.,A large area filled with  trees and debris burning from the fire .,A river of lava flows while burning the foliage around it.,A slow moving lava flow advancing over a road and burning plants as it moves.
7477,A fire roars at night in a circular metal contraption outside.,A wooden structure is burning as the fire rises to the air.,A log fire contained in a circular object burns near a body of water.,"A fire-pit full of logs blazes brightly, reflecting its light on the water.",Fire burns in a pot at night over the water.
6424,this is an active fireplace that is raging and consuming the wood quite easily,A fireplace in a dark room has logs with a fire in it.,Logs burn in a fireplace creating a very colorful fire.,A fire burns a stack of wood on a grate in a dark fireplace.,A bon fire burning in the dark woods lighting it up
9278,A large fire is going on while people surround it.,People are standing in a crowd watching  a large fire burn.,Large red flames dance around a pile of lumber while a crowd spectates.,A crowd of people out in the night surrounding a huge campfire,A large fire is burning outdoors at night while people raise their hands.
1847,"A small fire is burning grass, the fire is almost out.","A small fire burns slowly on the ground, burning dry grass and turning grass black.","A small fire burns dead grass, slowly turning it black and brown.",A patch of grass is singed and slowly burning on fire.,"An area is charred by a grass fire, which slowly spreads."
8275,A large object is being set on fire while other people are watching.,a group of people observing a very large large wooden structure on fire,"A bright fire burns in the night sky, while onlookers watch the blaze.",A group of people sit around a large bonfire in the night,A large bonfire is burning in a field as people watch it.
7354,A fire rages in what appears to be a forrest while something dangles.,A structure is being burnt by fire as the air turns orange.,Heavy smoke and ash is seen around a blazing fire.,smoke envelops the scene as a raging orange fire burns.,a fire burns as it completely engulfs a large building
4557,"Up in flames, an unrecognizable structure burns bright orange with rising smoke.",A very large fire is burning in the middle of a forest area.,Holy moly what a fire! Guess that happens when you throw gasoline on dead trees...they go up in smoke.,A blazing fire at night while people walking passing it.,it's dark and something is burning with fire blazing and the flames are high
5322,A large fire is ablaze while someone films as two people stand close to the fire and another appears to be spraying water at it.,A large fire is seen while two individuals look at the blaze.,A tremendous roaring fire blazes orange against the blackness of night.,A fire is blazing while one person stands near it and another stands farther off.,people stand in front of and watch a large fire at nighttime.
9194,People stand and watch as a large fire engulfs a tall structure at night.,Flames shot up in the night sky as people watch from the side.,A group of people watch as a fire blazes up in front of them.,a large fire burns at night while several people look on,A group of people surrounding a giant fire in the middle of the night
8918,There is a fire burning and a flag in the middle on fire as someone walks in front of it while others sit and watch.,A large fire is burning on the ground at night while people are watching.,A few people sit and watch as the blazing fire roars up into the night sky.,A  group of people watch a large bonfire at night.,A group of people watch a large fire as a man walks by it
4400,Spectators watch on as a row of vertical sticks burn,A large fire is burning the ground at night with several people around watching.,At night a large fire is burning while people are watching it.,an intense fire burns a building while onlookers stand by,A crowd of onlookers looks at a group of poles on the ground that are blazing with fire.
9191,A crowd watches a huge blaze try to be extinguished by fire hoses,Many onlookers gather around a massive fire as water is sprayed on it from several directions.,A roaring flame blazes as a crowd gathers to watch firefighters spray water on it.,A large group of people stand and watch a fire its while being extinguished.,a group of people outside on a dark night looking at a huge fire
4395,A structure that is very long is being burned down.,Large interesting decorative shapes that look like metal have large flames bursting out of them,A wooden structure with a curvy shape burns at night,A fire burns on a large metal structure in the night,"What appears to be an artistic sculpture, emits a large flame."
9651,Fireworks shooting up near an object that is lit up in flames.,A building is lit in flames and is burning while fireworks go off in the background.,A burning structure with a lot of flames while fireworks in the background,Some structure is up in flames while fireworks go off behind it.,A tall tower is on fire while fireworks explode in the background
9872,An open flame is keeping the people around it very warm.,Wood is crackling in the bonfire while we see smoke rising from the log.,A log in a fire surrounded by ash burns with a bright orange and yellow flame.,a log burns on top of ashes in a fire pit.,A pit with a couple of wooden logs burning and smoking '
5476,A mechanical object is shooting fire from its top and head,"A large, man made octopus with fire at the end of each tentacle, shooting a large fireball from the top of it's head, surrounded by a crowd of people on a very dark night",Interesting. Indian Gods or Buddha are lit up with fire and their arms move up and down and looks like they blow fireballs.,a large figure with several arms blows flames over a crowd,A lot of people are on the street where a parade has a big statue that blows out fire.
4669,A man and a woman swinging around ropes with fire on the ends,A male and a female fire dancer are performing together.,A male and female duo entertain a crowd by twirling flaming batons.,a man and a woman perform a fire dance in front of a crowd,Onlookers watching two fire dancers show their skills during a show.
5891,a festival is going on with many people and the lights are gone.,Several people are gathered during a nighttime event where people appear to be on stage performing.,"Flashes of light illuminate a crowd of people outdoors, some standing apart from the larger group.",a large gathering around some lit torches at night time,a tractor with an attached wagon is at a nighttime festival
8268,It's dark and looks like it could be a concert with someone performing on stage.,"blue, green, and yellow lights are shining across the distance against the night sky","A person is recording a shaky video of white, yellow and green lights.",A camera person is walking towards the the bright colorful lights at night. In front of them there is some flashing lights.,The beautiful view of an area in the night with bright lights
8397,"Crazy looking Robot Creature that looks like a cross between a spider, octopus and C3PO from Star Wars is lifting all its arms up and down with fire coming out of the ends of its arms.",A large metal octopus moves its tentacles while fire comes out.,A strange looking robot is shooting fire upward from various pipes.,A metal robot contraption with many legs shoots flames from its legs and head,Creatures poke from the head of a man-made octopus and fire shoots from the tentacles.
5292,Fire is burning with many flames as people look on.,A large fire with many people watching is shown in the night,A large burning fire spreading upwards towards the sky as an audience watches.,People sitting around and watching a massive bonfire burn at night.,A giant fire with what looks like a cross on top of it
6980,Lights explode in the distant night sky while people look on.,smoke blurts out of an object that is located outside in the area,Many people look on at a rocket launch at night.,A large column of light and smoke appears in front of a crowd.,a light show at a night-time festival is shown as people watch
1617,A cake on fire and falling over while people watch.,A model structure collapses in flames as people watch and film.,The tower fell over due to being engulfed in flames,People watch on while a fire burns in a fire pit,A building model falling over from the flames of a fire pit
1452,Some sort of festival or event with a very large group of people burning a large structure.,A group of people watch as a structure at the park is on fire.,A group of people are gathered around a structure with smoke rising out of it.,a group of people burning a small building at a festival,A large crowd of people can be seen in the distance surrounding a large box.
1516,A cathedral getting burned up while a crowd of people watch.,A big fire is being watched by a crowd of people as flames go into the night sky.,Tower structures stand around a raging fire burning at night.,People sit and watch buildings burn on a set. There are people very close to the set while others are back.,A large bonfire is burning in a field at night.
2241,Someone is looking over an active geyser with smoke coming out of it.,a woman on a bicycle is observing a side of a cliff from which a white cloud of smoke is coming from,A woman on a bike points out the smoke rising from the ground.,A woman on a bike points to steam that is rising from the ground,A person on a bicycle stops to look at steam coming up from a field.
6884,A crowd watches a large fire burning as smoke dissipates.,A massive fires erupts in the distance while people watch in amazement.,There is a bonfire at night and there is smoke coming from it.,A group of people are standing watching a big fire.,Fire and smoke fill the air while a crowd watches.
766,Fire comes out of a metal apparatus and burns brightly in the night.,A large purple and orange flame shoots upwards against a dark night sky,A massive flame flares from an unknown source at night.,A large flame bursts and erupts upward in the night.,Fire burning with purple and yellow flames outdoor in the night
3334,A structure is engulfed in flames and the fire is burning out of control.,Someone is outside filming a building that is on fire while it is dark outside.,A structure is on fire as smokes goes into the air.,A very large fire is burning in the dark of night.,A video is being taken of some structure on fire in the middle of the night.
6079,A group of people talk around a fire in the pitch dark.,Everything is dark except for the flicker of some small flames.,Someone lights a fire at night in a mysterious blurry video.,Torch flames get bigger then dim as the wind blows in the dark night.,The only light in the black of night was that of a small burning fire.
5545,Some fire rages with a black background and no one is around.,An orange fire burns bright and strong during the night.,"Bright orange flames burn heavily against a dark, barren background.",Bright orange and yellow flames are dancing around a black background.,A large plume of flames shoots up into the darkness
5442,People are playing with fire during a nighttime entertainment show.,A few people holding and swinging batons and ropes on fire on an open dirt field at night,People are dancing and walking with fire sticks at night.,"In the dark of the night, the performers spin the glowing sticks of fire.",People swinging fire around twirling it in a performance in the dark
1225,A group of people standing observing a large fire in the night,some fire rages outside at night as people walk around,A man and other people stand in front of a structure that is on fire.,The remains of a wooden structure are burning with a large bed of coals.,A large fire from a house or building burning down is watched by many in a crowd
3693,a person in a white furry coat is dancing with blue lights on their head,A person in a furry white coat and flashing blue headband dances at night in front of a fire dancer.,A person in a white coat dances at night with a flashing ear headband.,A person in a fuzzy white coat and animal ears dances with another person.,People dance while wearing or holding bright lights that flash.
